Neighbourhood.Name,Neighbourhood_Number,Gini_i_HH_tIncome,Avg_HH_size,Avg_tIncome_HH_in_2020,Race_Total,Prop_Black,Prop_Arab,Prop_Latin_Amrican,Prop_East_SouthEast_Asian,Prop_West_Asian,Prop_multi_vis_minority,Prop_non_vis_minority,Total Population,Unemployment_rate,Prop_no_dip,Prop_HS_or_equi,Prop_PS_non_Bach,Prop_PS_Bach,Prop_Graduate,TOTAL_CRIME_RATE_2015,TOTAL_CRIME_RATE_2016,TOTAL_CRIME_RATE_2017
West.Rouge,143,0.3,2.9,131200,20670,0.1722302854,0.01136913401,0.01136913401,0.1475568457,0.01499758104,0.04063860668,0.3289791969,17660,14.5,0.1084678561,0.2673463608,0.2897196262,0.2322288304,0.1022373265,648.483438,642.308018,755.25782
Morningside.Heights,144,0.2,3.8,127000,24940,0.1072574178,0.0084202085,0.009021651965,0.1529671211,0.01002405774,0.0274659182,0.03568564555,20860,15,0.1984659636,0.3077660594,0.2384947267,0.191514861,0.06375838926,833.80222,676.894766,720.718511
Malvern.West,145,0.3,3.4,99000,17320,0.1680138568,0.01154734411,0.0103926097,0.1980369515,0.0103926097,0.03060046189,0.08083140878,14485,17.5,0.1801242236,0.3015873016,0.2508626639,0.1887508627,0.07867494824,904.06793,996.442766,965.82793
Malvern.East,146,0.3,3.1,97700,26100,0.1940613027,0.01245210728,0.02030651341,0.2030651341,0.008237547893,0.03601532567,0.1076628352,22180,16.2,0.179481398,0.2996617813,0.2777903044,0.17632469,0.06674182638,997.72448,1073.36387,1024.45913
L.Amoreaux.West,147,0.3,2.6,92300,21545,0.1009514969,0.03782780227,0.01299605477,0.3397540032,0.03573915061,0.01902993734,0.2852169877,18820,15.8,0.1777836832,0.2633537071,0.2367791656,0.2232261493,0.09885729471,647.537005,787.96369,865.42651
East.L.Amoreaux,148,0.3,3,96700,21495,0.08234473133,0.009769713887,0.01070016283,0.4801116539,0.01279367295,0.02675040707,0.1374738311,18585,17.9,0.197630587,0.2824448034,0.2380183091,0.2030156166,0.0788906839,748.112344,609.526106,679.101491
Parkwoods.O.Connor.Hills,149,0.4,2.8,131200,13965,0.08950948801,0.03472968135,0.03150733978,0.186537773,0.04260651629,0.02506265664,0.492660222,11675,16.3,0.1391267123,0.2367294521,0.241010274,0.2482876712,0.1348458904,699.917007,699.018128,859.88109
Fenside.Parkwoods,150,0.3,2.5,93600,20510,0.1496830814,0.03998049732,0.03656752804,0.1938078986,0.05704534373,0.02632862019,0.3303266699,17490,15.7,0.1357918811,0.2675814751,0.2467124071,0.2312750143,0.1186392224,844.973603,933.680373,859.52055
Yonge.Doris,151,0.4,2.1,88300,20160,0.01240079365,0.0183531746,0.01537698413,0.4637896825,0.1148313492,0.02157738095,0.1857638889,17990,12.8,0.05779383162,0.1689358155,0.1614337316,0.3698249514,0.2420116699,573.21195,579.2135,633.29435
East.Willowdale,152,0.4,2.8,136600,15485,0.03616402971,0.01711333549,0.01033257992,0.4904746529,0.09719082984,0.02260251857,0.2244107201,13280,13.5,0.08581106511,0.2073767407,0.1512984569,0.3289424163,0.226571321,838.7795,1136.66825,1037.36888
