Neighbourhood.Name,Neighbourhood_Number,Gini_i_HH_tIncome,Avg_HH_size,Avg_tIncome_HH_in_2020,Race_Total,Prop_Black,Prop_Arab,Prop_Latin_Amrican,Prop_East_SouthEast_Asian,Prop_West_Asian,Prop_multi_vis_minority,Prop_non_vis_minority,Total Population,Unemployment_rate,Prop_no_dip,Prop_HS_or_equi,Prop_PS_non_Bach,Prop_PS_Bach,Prop_Graduate,TOTAL_CRIME_RATE_2015,TOTAL_CRIME_RATE_2016,TOTAL_CRIME_RATE_2017
Bathurst.Manor,34,0.4,2.6,116800,15955,0.03854591037,0.006894390473,0.03697900345,0.2337825133,0.0338451896,0.01723597618,0.5738013162,13675,12.6,0.1313574826,0.2381997805,0.2184412733,0.2627149652,0.1492864984,738.2616,908.58173,835.03751
Westminster.Branson,35,0.3,2.6,92800,25705,0.0412371134,0.01147636647,0.02801011476,0.3102509239,0.04687803929,0.01711729236,0.4683913635,22325,15.5,0.09585666293,0.2629339306,0.2680851064,0.2259798432,0.1471444569,755.61314,694.12725,682.07284
Newtonbrook.West,36,0.3,2.6,95300,23805,0.03066582651,0.01302247427,0.02163411048,0.3892039488,0.08422600294,0.02457466919,0.3429951691,21200,13.7,0.1071260028,0.2416234073,0.2227465786,0.2805568664,0.1479471449,881.29231,1248.8164,1134.20059
Willowdale.West,37,0.4,2.2,105700,17165,0.02184678124,0.01077774541,0.01456452083,0.3856685115,0.1109816487,0.02039032916,0.3626565686,15395,12,0.07599870088,0.1860993829,0.1734329328,0.3507632348,0.2137057486,938.65746,1248.83327,986.39458
Lansing.Westgate,38,0.5,2.4,152400,15910,0.01948460088,0.009113764928,0.02105593966,0.2652419862,0.06065367693,0.01539912005,0.5216844752,13595,11.5,0.06882591093,0.1888111888,0.1718807508,0.3496503497,0.2208317998,834.257732,963.689514,1131.97578
Bedford.Park.Nortown,39,0.5,2.7,266000,22145,0.02190110634,0.006547753443,0.01941747573,0.146759991,0.01828855272,0.01286972228,0.7459923233,18155,10.4,0.08101405346,0.2121796638,0.1526591347,0.3235050978,0.2306420502,689.82497,860.805791,1022.27094
St.Andrew.Windfields,40,0.5,2.7,220600,16955,0.03833677381,0.01061633736,0.01739899735,0.2978472427,0.07077558242,0.01061633736,0.452373931,14525,10.8,0.08568479009,0.1978664831,0.1631108052,0.3076393668,0.2456985547,894.683939,712.063388,876.28004
Bridle.Path.Sunnybrook.York.Mills,41,0.6,2.7,519500,8940,0.007270693512,0.01621923937,0.007270693512,0.2086129754,0.06263982103,0.024049217,0.6336689038,7625,8.2,0.06163934426,0.171147541,0.1095081967,0.331147541,0.326557377,941.03495,931.5314,1089.05786
Banbury.Don.Mills,42,0.5,2.2,144600,27150,0.04604051565,0.0167587477,0.0123388582,0.2624309392,0.04769797422,0.02283609576,0.4607734807,23685,10.5,0.08803039899,0.218703821,0.2009710787,0.2970234326,0.1952712687,802.83366,596.302416,728.615323
Victoria.Village,43,0.3,2.4,84900,17365,0.1243881371,0.06939245609,0.02562625972,0.1364814282,0.04606968039,0.02764180823,0.3714367982,14655,16.8,0.1811668373,0.2657795974,0.2688502218,0.1896963494,0.0945069942,1135.14742,1104.966005,780.894549
Flemingdon.Park,44,0.3,2.8,79700,22530,0.1140701287,0.02751886374,0.01553484243,0.1706613404,0.09076786507,0.02285841101,0.1975144252,18375,16.5,0.1937414966,0.2666666667,0.2201360544,0.205170068,0.1142857143,964.98262,936.03498,780.05728
Pleasant.View,46,0.3,2.8,106300,15220,0.05847568988,0.03186596583,0.01609724047,0.3761498029,0.0252956636,0.0167542707,0.3301576873,13410,16.9,0.1483967189,0.2464578673,0.2177479493,0.2568978374,0.1304996271,490.377192,609.180276,505.71416
Don.Valley.Village,47,0.3,2.6,99100,26770,0.04538662682,0.03193873739,0.02932387,0.3468434815,0.09450877848,0.02521479268,0.2568173328,22945,15.1,0.1083024624,0.2168228372,0.2148616256,0.2869906298,0.173022445,891.325777,907.398917,815.15736
Hillcrest.Village,48,0.3,2.6,105900,16345,0.04863872744,0.01009483022,0.01345977363,0.4866931783,0.04833282349,0.02141327623,0.2095442031,14395,13.6,0.1156651615,0.2045849253,0.2125738104,0.2889892324,0.1781868704,770.44814,729.87704,718.734027
Bayview.Woods.Steeles,49,0.4,2.5,122600,12085,0.04923458833,0.01034340091,0.01489449731,0.4033926355,0.09019445594,0.022755482,0.3156805958,10770,13.4,0.09660938226,0.2243381328,0.1950766373,0.2926149559,0.1913608918,664.52803,724.247324,753.25912
Newtonbrook.East,50,0.4,2.5,109400,15345,0.02411208863,0.008145975888,0.02704463995,0.4170739655,0.1616161616,0.02280873249,0.2394916911,13770,13.1,0.08502906977,0.2242005814,0.1729651163,0.3143168605,0.2034883721,947.91232,1090.84384,1006.94347
Bayview.Village,52,0.4,2.1,107700,22330,0.03896103896,0.01500223914,0.0237348858,0.3846842812,0.1213613972,0.02686968204,0.2769816391,19935,13.7,0.05367444194,0.1753197893,0.1793328317,0.3493855029,0.2422874342,835.648268,725.34653,616.62293
Henry.Farm,53,0.4,2.3,91100,19840,0.06829637097,0.04259072581,0.02671370968,0.2976310484,0.07232862903,0.02242943548,0.1706149194,16970,13.7,0.07832744405,0.1716725559,0.1911071849,0.3527679623,0.2061248528,738.83318,657.451682,758.458908
O.Connor.Parkview,54,0.4,2.5,105500,18405,0.1342026623,0.01086661233,0.02336321652,0.1219777234,0.02635153491,0.01657158381,0.5634338495,15500,17,0.1770967742,0.274516129,0.2670967742,0.184516129,0.09677419355,1289.85245,1011.402786,1038.61931
Thorncliffe.Park,55,0.3,2.9,76600,20400,0.0737745098,0.04338235294,0.02107843137,0.1080882353,0.09460784314,0.01887254902,0.1796568627,15425,17.9,0.1882696047,0.2799740765,0.1843810758,0.2103046014,0.1370706416,793.152481,670.320601,681.44992
Leaside.Bennington,56,0.5,2.6,284400,16535,0.01451466586,0.003931055337,0.01179316601,0.1224674932,0.01663138796,0.01421227699,0.7850015119,13630,11.2,0.08397506417,0.1730839751,0.1518151815,0.3531353135,0.2379904657,614.201819,743.23506,554.5645
Broadview.North,57,0.4,2.1,93900,10955,0.06344135098,0.0146052031,0.02738475582,0.1241442264,0.0146052031,0.02373345504,0.6713829302,9490,14.7,0.1428571429,0.2435424354,0.2387981023,0.2414338429,0.1333684765,865.84477,767.30764,885.994409
Old.East.York,58,0.4,2.5,126700,9160,0.03493449782,0.009825327511,0.01364628821,0.135371179,0.0114628821,0.02019650655,0.7221615721,7740,12.2,0.1381536475,0.242091672,0.2511297611,0.2324080052,0.1362169141,814.88784,834.87533,724.33857
Danforth.East.York,59,0.4,2.5,130400,17065,0.04570758863,0.00673893935,0.02109581014,0.1629065338,0.006445941987,0.02402578377,0.6777029007,13995,11.1,0.158270811,0.2011432655,0.2104322972,0.2718828153,0.158270811,570.61135,767.17183,774.501637
Woodbine.Lumsden,60,0.3,2.3,116500,7915,0.07770056854,0.003790271636,0.02337334176,0.1737207833,0.01073910297,0.0176879343,0.6291850916,6620,12,0.1262282691,0.2297808012,0.2380952381,0.261526833,0.1443688587,888.43964,815.40562,675.418
Taylor.Massey,61,0.3,2.5,79100,15025,0.11281198,0.01397670549,0.02795341098,0.1021630616,0.015640599,0.01730449251,0.302828619,12340,18.8,0.1408336706,0.2480777013,0.2213678673,0.2173209227,0.1723998381,1252.2166,1091.89872,980.24151
East.End.Danforth,62,0.4,2.3,121700,21845,0.07049668116,0.006408789197,0.02151522087,0.1146715496,0.01258869306,0.02471961547,0.6752117189,18105,12.9,0.1201325601,0.2101629384,0.219276443,0.2985363159,0.1518917426,1770.05884,1671.195216,1513.925375
The.Beaches,63,0.5,2.3,197200,21505,0.02232039061,0.002325040688,0.01232271565,0.08114392002,0.004185073239,0.01534526854,0.8402697047,17850,11,0.07369010927,0.1944522275,0.1779209863,0.3404314934,0.2135051835,954.63805,1380.45786,896.43508
Woodbine.Corridor,64,0.4,2.3,131000,12205,0.06923392052,0.008603031544,0.0184350676,0.1175747644,0.00327734535,0.02335108562,0.7107742728,9890,10.8,0.1243680485,0.201718908,0.1911021234,0.3038422649,0.1789686552,1090.46636,1527.206752,1232.4526
Greenwood.Coxwell,65,0.4,2.3,119100,14120,0.05559490085,0.006728045326,0.0138101983,0.196529745,0.004603399433,0.02266288952,0.6214589235,11570,12,0.1503889369,0.2268798617,0.1979256698,0.2623163354,0.1624891962,1578.465354,1605.66112,1145.005883
Danforth,66,0.4,2.4,137600,9310,0.03490870032,0.004833512352,0.01020408163,0.1369495166,0.003759398496,0.02524167562,0.7142857143,7775,12,0.1441441441,0.2149292149,0.1776061776,0.2850707851,0.1782496782,1670.86006,1785.32665,1559.45019
Playter.Estates.Danforth,67,0.4,2.1,147400,7680,0.02734375,0.005859375,0.01692708333,0.095703125,0.003255208333,0.021484375,0.8046875,6590,14,0.1062215478,0.1820940819,0.1540212443,0.3148710167,0.2427921093,1335.64208,1552.58619,1391.73698
North.Riverdale,68,0.4,2.3,173200,11290,0.023914969,0.004428697963,0.007971656333,0.1780336581,0.004871567759,0.0243578388,0.7307351639,9505,9.1,0.1094736842,0.1605263158,0.1552631579,0.3305263158,0.2442105263,1504.11233,1296.43655,1237.56723
Blake.Jones,69,0.4,2.4,120500,7475,0.1070234114,0.01538461538,0.02140468227,0.1819397993,0.01003344482,0.02675585284,0.5759197324,6215,13.4,0.1609010459,0.224456959,0.1946902655,0.2654867257,0.154465004,1673.35766,1590.98245,1524.56368
South.Riverdale,70,0.4,2.2,135400,27815,0.05896099227,0.006830846665,0.01545928456,0.2399784289,0.007549883157,0.02768290491,0.5969800467,23880,13,0.1444723618,0.1863484087,0.1899078727,0.307998325,0.1712730318,1671.7235,2193.27499,1899.11773
Cabbagetown.South.St.James.Town,71,0.5,1.8,120000,11020,0.0612522686,0.009528130672,0.03493647913,0.136569873,0.007259528131,0.01406533575,0.6610707804,10120,12.9,0.07209876543,0.1965432099,0.1995061728,0.2918518519,0.24,2422.05196,2600.41356,2158.565122
Regent.Park,72,0.4,2.1,83400,12750,0.1650980392,0.03215686275,0.02980392157,0.2,0.0137254902,0.03215686275,0.2921568627,11010,17.3,0.1502496596,0.2505674081,0.2106218793,0.2560145256,0.1325465275,1789.5528,1948.25503,2078.57303
Moss.Park,73,0.5,1.6,96800,21495,0.1346824843,0.02140032566,0.03000697837,0.1746917888,0.01395673412,0.02814608048,0.4880204699,19920,14.6,0.09615867437,0.1832789355,0.1910620136,0.3321616872,0.1973386894,4088.59011,4403.44032,4653.58045
North.St.James.Town,74,0.4,2,74100,18535,0.1321823577,0.02886431076,0.03776638791,0.2179660103,0.02643647154,0.02077151335,0.2934987861,16370,17.5,0.1191567369,0.2285365108,0.2212037886,0.2694775435,0.1616254201,1699.61955,1573.62989,1641.546572
Kensington.Chinatown,78,0.4,1.9,91600,18120,0.06677704194,0.01738410596,0.02649006623,0.4023178808,0.01214128035,0.03476821192,0.370584989,16875,17.7,0.1454814815,0.2334814815,0.16,0.2856296296,0.1754074074,3689.18623,3915.51371,4220.47958
University,79,0.5,2,130200,6435,0.0404040404,0.008547008547,0.03185703186,0.2261072261,0.008547008547,0.02253302253,0.6192696193,5925,15.3,0.07834877843,0.1777590564,0.1440606571,0.3108677338,0.2889637742,5228.12044,4961.8123,5613.68552
Palmerston.Little.Italy,80,0.4,2.1,131800,13120,0.03201219512,0.006859756098,0.02172256098,0.1288109756,0.008765243902,0.01524390244,0.7572408537,11925,11.2,0.1245805369,0.1854026846,0.1602348993,0.3133389262,0.216442953,1547.9394,1331.7984,1445.706415
Trinity.Bellwoods,81,0.4,2.3,133000,15415,0.03081414207,0.005189750243,0.01459617256,0.2293220889,0.006162828414,0.01556925073,0.6707752189,13810,12.7,0.1985507246,0.2003623188,0.1503623188,0.2862318841,0.1644927536,1453.879,1766.39544,1734.421741
Dufferin.Grove,83,0.4,2.1,100600,11210,0.04727921499,0.004906333631,0.04415700268,0.139161463,0.004014272971,0.01962533452,0.6801962533,10000,14.4,0.1795897949,0.1885942971,0.1990995498,0.2716358179,0.1610805403,1590.283,1559.749995,1575.47103
Little.Portugal,84,0.4,2,110900,15485,0.05037132709,0.009041007427,0.03971585405,0.1520826606,0.008072328059,0.01840490798,0.6851792057,13985,12.7,0.1487839771,0.1906294707,0.1766809728,0.3226037196,0.1613018598,1228.002644,1376.49313,1520.71911
South.Parkdale,85,0.4,1.8,76300,20500,0.1231707317,0.01243902439,0.03195121951,0.1568292683,0.005365853659,0.02487804878,0.4909756098,18575,17.3,0.146584185,0.2555137171,0.2348036579,0.2477138246,0.1153846154,1699.106089,1870.12838,1842.1809
Roncesvalles,86,0.4,2.2,124000,14615,0.05542251112,0.003421142662,0.01744782757,0.1081081081,0.002052685597,0.02634279849,0.7215189873,12485,11.3,0.1353624349,0.1926311574,0.1842210653,0.2919503404,0.195835002,1497.11211,1495.95766,1805.90534
High.Park.Swansea,87,0.4,2.2,160600,22665,0.04169424222,0.005073902493,0.02073681888,0.09265387161,0.005735715861,0.01279505846,0.7694683433,19275,11.2,0.07548638132,0.1706874189,0.1815823606,0.324773022,0.2474708171,967.359214,949.87634,817.33212
High.Park.North,88,0.4,2,118400,21855,0.04415465569,0.009608785175,0.0391214825,0.1070693205,0.008922443377,0.01464195836,0.7298101121,19075,13.1,0.06554798112,0.1651809124,0.1969061353,0.3290508652,0.2433141059,1062.92687,908.79546,1099.68506
Runnymede.Bloor.West.Village,89,0.4,2.6,179000,10120,0.02816205534,0.005434782609,0.01581027668,0.09090909091,0.002470355731,0.01729249012,0.8181818182,8115,9.8,0.1084411583,0.1706715958,0.1638940234,0.3345656192,0.2224276032,1055.145926,922.43775,1046.7744
Junction.Area,90,0.3,2.3,119300,14010,0.05174875089,0.005353319058,0.04354032834,0.1506067095,0.003925767309,0.01641684511,0.6834403997,11965,12.8,0.1215538847,0.2009189641,0.2055137845,0.3028404344,0.1691729323,1329.117707,1394.189648,1429.6631
Weston.Pelham.Park,91,0.3,2.6,94700,10680,0.1357677903,0.004213483146,0.08286516854,0.1076779026,0.004213483146,0.02434456929,0.5922284644,9110,15.2,0.2781130005,0.2742731761,0.2139330773,0.1574328031,0.07624794295,1421.818127,1173.06635,1080.48159
Corso.Italia.Davenport,92,0.3,2.5,117300,13200,0.06174242424,0.004166666667,0.07613636364,0.08522727273,0.00303030303,0.0178030303,0.7310606061,11355,11.3,0.2279541446,0.2156084656,0.221340388,0.2182539683,0.1168430335,1053.4065,911.78418,1119.389975
Wychwood,94,0.4,2.2,129800,12800,0.072265625,0.0046875,0.041015625,0.131640625,0.00390625,0.026953125,0.697265625,11025,12.5,0.1538112523,0.2055353902,0.1746823956,0.2717785844,0.1941923775,1176.219959,1336.7592,1066.19343
Annex,95,0.6,1.8,184000,29300,0.04163822526,0.01348122867,0.02167235495,0.1363481229,0.01518771331,0.01655290102,0.7139931741,26865,11.6,0.05656866394,0.1535169334,0.1466319315,0.3410867138,0.3021957574,1673.35785,1994.56588,1890.368572
Casa.Loma,96,0.7,2,270400,11350,0.03612334802,0.006607929515,0.02422907489,0.09383259912,0.01189427313,0.0140969163,0.7625550661,10180,11,0.04773622047,0.1737204724,0.1496062992,0.3375984252,0.2913385827,743.10401,818.06746,761.57033
Yonge.St.Clair,97,0.6,1.8,204800,12905,0.02944595118,0.01123595506,0.03215807826,0.09221232081,0.0178225494,0.01472297559,0.752421542,11590,8.5,0.0474342389,0.1440275981,0.1655886158,0.3501509271,0.2927986201,584.76828,532.02972,453.120609
Rosedale.Moore.Park,98,0.6,2,334000,20080,0.0234063745,0.007221115538,0.02091633466,0.09013944223,0.01369521912,0.0124501992,0.7843625498,17685,9.4,0.04834605598,0.1509754029,0.1320327962,0.3664122137,0.3022335312,1163.849602,1240.508551,1219.89167
Mount.Pleasant.East,99,0.5,2.3,184200,16370,0.03237629811,0.00733048259,0.02932193036,0.1493585828,0.01832620648,0.02107513745,0.7101405009,13590,10.6,0.07247976453,0.1688741722,0.1582045622,0.3509933775,0.2494481236,547.20078,403.87854,536.61826
Yonge.Eglinton,100,0.5,2.1,167000,12405,0.02942361951,0.01289802499,0.03829101169,0.1394598952,0.01370415155,0.01652559452,0.6989117291,10690,11.5,0.06551240056,0.1506785213,0.1637810014,0.3528310716,0.2671970051,1058.51006,997.2056,1125.59339
Forest.Hill.South,101,0.6,2.1,284400,10860,0.02946593002,0.006906077348,0.01979742173,0.1017495396,0.009208103131,0.01243093923,0.7785451197,9500,8.9,0.06522882693,0.1683324566,0.1446607049,0.330878485,0.2908995266,546.97806,566.81822,1095.735008
Forest.Hill.North,102,0.5,2.3,170200,12295,0.04229361529,0.004473363156,0.03904026027,0.1557543717,0.01423342822,0.02114680765,0.6917446116,10405,11.6,0.08217203268,0.2075925036,0.1864488227,0.3046612206,0.2191254205,970.36653,583.07357,914.55836
Lawrence.Park.South,103,0.6,2.6,365600,14960,0.01403743316,0.006684491979,0.008689839572,0.1313502674,0.01403743316,0.01570855615,0.7593582888,12510,9.8,0.08150219736,0.1606072713,0.1126648022,0.3467838594,0.2984418698,755.14188,635.06418,683.80812
Lawrence.Park.North,105,0.5,2.7,268400,14675,0.01260647359,0.003747870528,0.0136286201,0.1645655877,0.01669505963,0.0136286201,0.7291311755,11705,10.9,0.07895860009,0.1519419548,0.1122492531,0.3700384123,0.2868117798,638.48006,551.93116,738.80519
Humewood.Cedarvale,106,0.5,2.2,146200,13845,0.0639219935,0.007945106537,0.03394727338,0.1560130011,0.003972553268,0.0173347779,0.6832791622,11715,10.8,0.08070025619,0.195559351,0.1964133219,0.3018787361,0.2254483348,1049.29525,835.88063,813.504867
Oakwood.Village,107,0.3,2.4,102500,20710,0.1298889425,0.00386286818,0.0709802028,0.1603090295,0.006760019314,0.02148720425,0.5688073394,17635,12.6,0.1997733069,0.2391612355,0.2142249929,0.2159251913,0.1309152734,1136.46907,1161.89374,979.358012
Briar.Hill.Belgravia,108,0.3,2.5,96800,14575,0.08164665523,0.004116638079,0.07169811321,0.2466552316,0.009948542024,0.02298456261,0.5090909091,12670,13.9,0.1800236873,0.2408211607,0.2404263719,0.2222660876,0.1164626925,1034.79658,962.72841,969.61227
Caledonia.Fairbank,109,0.3,2.7,102500,10015,0.07538691962,0.00449326011,0.09435846231,0.1467798303,0.008487269096,0.0234648028,0.5976035946,8575,12.9,0.3018648019,0.2441724942,0.2377622378,0.1474358974,0.06876456876,988.384994,995.9321,960.06107
Keelesdale.Eglinton.West,110,0.3,2.6,92300,11385,0.1133069829,0.003074220466,0.1001317523,0.1216512956,0.001756697409,0.02415458937,0.5805884936,9770,14.9,0.3189964158,0.2882744496,0.2396313364,0.10906298,0.04403481823,1176.58251,982.639808,1156.49596
Rockcliffe.Smythe,111,0.3,2.5,87300,22240,0.1506294964,0.00809352518,0.1144334532,0.1290467626,0.004271582734,0.01506294964,0.5211330935,18910,14.2,0.2675832893,0.2979904812,0.2464304601,0.1285034373,0.0594923321,1299.52338,1191.98776,1004.889519
Beechborough.Greenbrook,112,0.3,2.4,79500,6260,0.303514377,0.008785942492,0.06389776358,0.1150159744,0.006389776358,0.01517571885,0.392172524,5225,17.6,0.2636103152,0.3304680038,0.2511938873,0.1146131805,0.04011461318,1684.61838,1409.4428,1509.9078
Weston,113,0.3,2.4,80500,18680,0.3790149893,0.008029978587,0.07173447537,0.102248394,0.005353319058,0.02810492505,0.3546573876,15555,17.4,0.2302250804,0.3057877814,0.2758842444,0.1327974277,0.05530546624,1602.18119,1834.16241,1924.87771
Lambton.Baby.Point,114,0.5,2.6,165600,7965,0.1042059008,0.002510985562,0.02573760201,0.0790960452,0.004394224733,0.02197112367,0.7281858129,6420,13.2,0.1310452418,0.2129485179,0.1731669267,0.2769110764,0.2059282371,990.69183,487.60083,558.73686
Mount.Dennis,115,0.3,2.6,81700,13055,0.3236307928,0.01110685561,0.1018766756,0.1719647645,0.005361930295,0.0417464573,0.2826503255,10905,18.7,0.2305224565,0.3043079743,0.2777268561,0.1393217232,0.04812098992,1262.162422,1454.34882,1106.6455
